Year,Month,CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2
2017,September,HYDERABAD,TRIVANDRUM,4950,6326
2017,September,HYDERABAD,UDAIPUR,0,464
2017,September,HYDERABAD,VIJAYAWADA,10093,11051
2017,September,HYDERABAD,VARANASI,10360,9287
2017,September,HYDERABAD,VISAKHAPATNAM,26048,26718
2017,September,HYDERABAD,AHMEDABAD,17570,16270
2017,September,HYDERABAD,BHUBANESWAR,13099,12782
2017,September,HYDERABAD,VADODARA,537,528
2017,September,HYDERABAD,BHOPAL,62,136
2017,September,HYDERABAD,BENGALURU,82599,84144
2017,September,HYDERABAD,MUMBAI,97518,89049
2017,September,HYDERABAD,KOLKATA,31251,26682
2017,September,HYDERABAD,CUDDAPAH,1320,1255
2017,September,HYDERABAD,COIMBATORE,5060,5138
2017,September,HYDERABAD,KOCHI,29339,28435
2017,September,HYDERABAD,DEHRA DUN,394,541
2017,September,HYDERABAD,DELHI,100815,93644
2017,September,HYDERABAD,GUWAHATI,2484,3349
2017,September,HYDERABAD,GOA,17112,16787
